city,state_code,walk_score,bike_score
Taylorsville,UT,35,42
West Jordan,UT,28,40
West Valley City,UT,36,39
Alexandria,VA,62,62
Chesapeake,VA,21,35
Hampton,VA,33,40
Harrisonburg,VA,45,40
Lynchburg,VA,29,24
Newport News,VA,34,39
Norfolk,VA,46,47
Portsmouth,VA,35,42
Richmond,VA,51,51
Roanoke,VA,39,39
Suffolk,VA,15,32
Virginia Beach,VA,33,42
James City County,VA,0,25
Auburn,WA,33,41
Bellevue,WA,41,42
Bellingham,WA,49,58
Burien,WA,52,45
Everett,WA,49,55
Federal Way,WA,38,37
Kennewick,WA,36,40
Kent,WA,40,44
Kirkland,WA,51,48
Lacey,WA,29,51
Lakewood,WA,40,43
Marysville,WA,23,39
Olympia,WA,39,59
Pasco,WA,38,42
Redmond,WA,33,51
Renton,WA,40,35
Richland,WA,34,49
Sammamish,WA,13,28
Seattle,WA,74,71
Shoreline,WA,50,49
Spokane,WA,49,52
Spokane Valley,WA,30,44
Tacoma,WA,54,48
Vancouver,WA,41,59
Yakima,WA,49,46
Appleton,WI,44,51
Eau Claire,WI,36,48
Green Bay,WI,42,47
Janesville,WI,37,45
Kenosha,WI,49,47
La Crosse,WI,54,66
Madison,WI,50,66
Milwaukee,WI,62,58
Oshkosh,WI,43,51
Racine,WI,56,54
Waukesha,WI,35,38
West Allis,WI,60,51
Casper,WY,36,42
Cheyenne,WY,36,49
