county_state,living_wage
"Union, Indiana",31144
"Vanderburgh, Indiana",32744
"Vermillion, Indiana",31944
"Vigo, Indiana",31944
"Wabash, Indiana",31536
"Warren, Indiana",31411
"Warrick, Indiana",32744
"Washington, Indiana",31489
"Wayne, Indiana",30956
"Wells, Indiana",31630
"White, Indiana",31630
"Whitley, Indiana",31630
"Adair, Iowa",32700
"Adams, Iowa",32895
"Allamakee, Iowa",32700
"Appanoose, Iowa",32700
"Audubon, Iowa",32700
"Benton, Iowa",31938
"Black Hawk, Iowa",34007
"Boone, Iowa",33681
"Bremer, Iowa",33041
"Buchanan, Iowa",32554
"Buena Vista, Iowa",31938
"Butler, Iowa",32700
"Calhoun, Iowa",32700
"Carroll, Iowa",32700
"Cass, Iowa",32700
"Cedar, Iowa",33730
"Cerro Gordo, Iowa",32570
"Cherokee, Iowa",32700
"Chickasaw, Iowa",32700
"Clarke, Iowa",33511
"Clay, Iowa",32781
"Clayton, Iowa",31954
"Clinton, Iowa",32846
"Crawford, Iowa",32700
"Dallas, Iowa",34267
"Davis, Iowa",32700
"Decatur, Iowa",32878
"Delaware, Iowa",32700
"Des Moines, Iowa",33478
"Dickinson, Iowa",33746
"Dubuque, Iowa",32911
"Emmet, Iowa",32700
"Fayette, Iowa",31938
"Floyd, Iowa",32700
"Franklin, Iowa",32700
"Fremont, Iowa",32700
"Greene, Iowa",32700
"Grundy, Iowa",34007
"Guthrie, Iowa",34267
"Hamilton, Iowa",33154
"Hancock, Iowa",32700
"Hardin, Iowa",32700
"Harrison, Iowa",35683
"Henry, Iowa",33203
"Howard, Iowa",32700
"Humboldt, Iowa",32700
"Ida, Iowa",32700
"Iowa, Iowa",32700
"Jackson, Iowa",32700
"Jasper, Iowa",33332
"Jefferson, Iowa",33138
"Johnson, Iowa",36333
"Jones, Iowa",31938
"Keokuk, Iowa",32700
"Kossuth, Iowa",33024
"Lee, Iowa",31971
"Linn, Iowa",32781
"Louisa, Iowa",31987
"Lucas, Iowa",34267
"Lyon, Iowa",32700
"Madison, Iowa",34267
"Mahaska, Iowa",33332
"Marion, Iowa",32895
"Marshall, Iowa",32959
"Mills, Iowa",35683
"Mitchell, Iowa",32700
"Monona, Iowa",33024
"Monroe, Iowa",33122
"Montgomery, Iowa",32700
"Muscatine, Iowa",34169
"O&#39;Brien, Iowa",32700
"Osceola, Iowa",32700
"Page, Iowa",32700
"Palo Alto, Iowa",32700
"Plymouth, Iowa",31938
"Pocahontas, Iowa",32700
"Polk, Iowa",34267
"Pottawattamie, Iowa",35683
"Poweshiek, Iowa",33284
"Ringgold, Iowa",32700
"Sac, Iowa",32700
"Scott, Iowa",32668
"Shelby, Iowa",32700
"Sioux, Iowa",32700
"Story, Iowa",36561
"Tama, Iowa",32116
"Taylor, Iowa",31938
"Union, Iowa",34234
"Van Buren, Iowa",32700
"Wapello, Iowa",33413
"Warren, Iowa",34267
"Washington, Iowa",33877
"Wayne, Iowa",32700
"Webster, Iowa",33024
"Winnebago, Iowa",32700
"Winneshiek, Iowa",32700
"Woodbury, Iowa",33186
"Worth, Iowa",32700
"Wright, Iowa",32700
"Allen, Kansas",32735
"Anderson, Kansas",32768
"Atchison, Kansas",32768
